,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
62,IFSC Climbing Worldcup (B) - Munich (GER) 2012,736,2012,Munich,Boulder,Men,Final,2012-08-25,/api/v1/category_rounds/2106/results,/api/v1/events/736/result/3
63,IFSC Climbing Worldcup (B) - Munich (GER) 2012,736,2012,Munich,Boulder,Women,Qualification,2012-08-25,/api/v1/category_rounds/2101/results,/api/v1/events/736/result/7
64,IFSC Climbing Worldcup (B) - Munich (GER) 2012,736,2012,Munich,Boulder,Women,Semi-Final,2012-08-25,/api/v1/category_rounds/2102/results,/api/v1/events/736/result/7
65,IFSC Climbing Worldcup (B) - Munich (GER) 2012,736,2012,Munich,Boulder,Women,Final,2012-08-25,/api/v1/category_rounds/2103/results,/api/v1/events/736/result/7
66,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Qualification,2012-09-01,/api/v1/category_rounds/2109/results,/api/v1/events/737/result/2
67,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Men,Final,2012-09-01,/api/v1/category_rounds/2110/results,/api/v1/events/737/result/2
68,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Qualification,2012-09-01,/api/v1/category_rounds/2107/results,/api/v1/events/737/result/6
69,IFSC Climbing Worldcup (S) - Arco (ITA) 2012,737,2012,Arco,Speed,Women,Final,2012-09-01,/api/v1/category_rounds/2108/results,/api/v1/events/737/result/6
70,IFSC World Championship Lead Group A - Paris 2012,739,2012,Paris,Lead,Men,Qualification,2012-09-11,/api/v1/category_rounds/2128/results,/api/v1/events/739/result/1
71,IFSC World Championship Lead Group A - Paris 2012,739,2012,Paris,Lead,Women,Qualification,2012-09-11,/api/v1/category_rounds/2127/results,/api/v1/events/739/result/5
72,IFSC World Championship Lead Group B - Paris 2012,740,2012,Paris,Lead,Men,Qualification,2012-09-11,/api/v1/category_rounds/2130/results,/api/v1/events/740/result/1
73,IFSC World Championship Lead Group B - Paris 2012,740,2012,Paris,Lead,Women,Qualification,2012-09-11,/api/v1/category_rounds/2129/results,/api/v1/events/740/result/5
74,IFSC Climbing World Championship - Paris (FRA) 2012,738,2012,Paris,Lead,Men,Qualification,2012-09-12,/api/v1/category_rounds/2119/results,/api/v1/events/738/result/1
