name,current_elo,competitions,avg_elo_change,elo_volatility,avg_rank,min_elo,peak_elo
SA SOL,1511.239330902223,2,5.62,1.58,30.5,1506.74,1511.24
HIRANO Natsumi,1511.18363365655,5,2.24,8.41,21.4,1500.94,1521.7
Kurita Miu,1510.467461929486,7,1.5,4.76,25.14,1505.19,1519.46
Bacher Barbara,1510.2493982583565,144,0.07,5.56,15.3,1510.25,1594.06
Buckley Jennifer Eucharia,1510.2391985373802,3,3.41,1.59,24.33,1501.61,1510.24
GROSSMAN Natalia,1510.2045903108833,2,2.0,11.61,6.0,1503.99,1510.2
Stöhr Anna,1509.6990649466343,2,4.85,0.15,22.0,1504.74,1509.7
LINTANG CAHYANI Sukma,1509.4023339201422,6,1.57,4.17,27.0,1498.91,1509.4
NONAKA Miho,1509.3410877630781,2,4.67,9.91,14.0,1509.34,1511.68
Yip Alannah,1508.8933484995778,30,0.3,4.75,35.3,1479.17,1527.4
KAKIZAKI Miu,1508.628375558525,16,0.54,5.98,28.69,1499.92,1516.08
Slemensek Tjasa,1508.4193012149267,24,0.35,6.3,28.79,1494.04,1519.26
Fredman Netta,1508.3217588569842,38,0.22,4.58,22.5,1490.15,1517.98
Kimura Rie,1508.1917344374774,2,4.1,6.32,8.0,1508.19,1508.57
Tesio Giorgia,1507.9798266559721,22,0.36,7.38,30.5,1493.81,1528.55
Vidmar Katja,1507.5031579370316,2,3.75,11.45,9.5,1507.5,1511.85
Januel Caroline,1506.588679395224,4,1.65,9.14,9.75,1496.35,1508.17
Kümin Andrea,1505.8591209533638,24,0.24,4.92,32.5,1479.88,1516.02
Belomestnova Maria,1505.7743846452345,2,2.89,9.65,10.0,1505.77,1509.71
Bibik Olga,1505.5971522150562,8,0.7,8.01,16.0,1500.5,1515.16
Gallyamova Anna,1505.346719443381,2,2.67,0.42,25.0,1502.97,1505.35
Kerem Ayala,1505.0778736826605,9,0.56,3.3,39.67,1492.49,1505.08
Nikolaeva Mariya,1505.077668682228,2,2.54,10.26,11.0,1505.08,1509.8
Stöckler Laura,1504.9628225305748,7,0.71,4.39,31.71,1496.28,1504.96
HULLIGER Michelle,1504.8769165405054,2,2.44,2.67,21.0,1504.32,1504.88
THOMPSON-SMITH Molly,1504.7294400136414,1,4.73,,10.0,1504.73,1504.73
SCHWAIGER Ines,1504.7007156995548,3,1.57,4.22,35.67,1504.7,1507.91
BERTONE Oriane,1504.4455107390145,1,4.45,,30.0,1504.45,1504.45
Kryvonis Olena,1504.0827019772137,1,4.08,,27.0,1504.08,1504.08
Demmel Martina,1503.9267537874082,30,0.13,6.98,28.83,1483.34,1522.58
Kadic Katja,1503.8671134994734,23,0.17,6.7,23.09,1469.34,1505.16
Matsufuji Anon,1503.8479751917603,3,1.28,9.63,26.0,1503.85,1513.38
Franken Ariane,1503.359947946691,1,3.36,,33.0,1503.36,1503.36
APEL Anna Maria,1503.2171181725807,6,0.54,10.99,18.0,1503.22,1517.61
Michalkova Vanda,1503.2119901096441,8,0.4,5.89,41.25,1500.9,1516.69
Bair Lauren,1503.1134816886856,1,3.11,,40.0,1503.11,1503.11
Hulliger Michelle,1502.886784364278,37,0.08,6.34,31.08,1486.07,1532.45
OH GAYEONG,1502.8416274284482,3,0.95,9.88,27.67,1502.84,1513.23
CHANOURDIE Julia,1502.8266862387018,6,0.47,3.84,35.83,1495.47,1502.83
DEUBLER Anika,1502.791210004032,1,2.79,,34.0,1502.79,1502.79
Macià Martín Geila,1502.4548985018362,1,2.45,,29.0,1502.45,1502.45
Medici Francesca,1502.4338719054986,1,2.43,,37.0,1502.43,1502.43
PLASSOUX DJIGA Ina,1502.309922381385,9,0.26,8.27,24.56,1491.39,1509.12
Kura Nanako,1502.3075333566253,2,1.15,6.59,51.5,1496.49,1502.31
Puccio Alex,1502.3019043174588,1,2.3,,49.0,1502.3,1502.3
Caprez Nina,1502.280819831095,12,0.19,5.83,15.58,1492.99,1507.68
Fisher Ella,1502.0291954398128,2,1.01,1.4,33.5,1500.02,1502.03
KOBETS Anastasiia,1502.014483156243,11,0.18,7.38,29.09,1486.39,1504.97
MUGISHIMA Kohana,1501.8089878013982,4,0.45,8.91,20.5,1500.63,1509.27
Bragdon Marah,1501.7070594124787,1,1.71,,32.0,1501.71,1501.71
Huang Li-Ping,1501.621444506238,5,0.32,5.49,20.0,1494.91,1505.91
Riddle Dana,1501.161539325322,2,0.58,0.38,29.5,1500.32,1501.16
Horstmann Bimini,1501.1575503967017,1,1.16,,40.0,1501.16,1501.16
KUDO Hana,1500.8548324221106,1,0.85,,29.0,1500.85,1500.85
TAKEUCHI Ai,1500.387012018808,2,0.19,0.43,36.0,1499.89,1500.39
Prosekova Olesya,1500.1213600430503,2,0.06,3.23,45.5,1497.78,1500.12
SKUSEK Lana,1500.010919708719,5,0.0,6.67,25.4,1491.08,1503.1
Graftiaux Chloé,1499.994436228189,8,-0.0,7.55,19.38,1481.27,1504.56
KUZUU Mashiro,1499.9816402313584,4,-0.0,4.97,27.5,1497.21,1503.41
Warenski Emilia,1499.9105595405765,1,-0.09,,42.0,1499.91,1499.91
Dörffel Lucia,1499.818771230757,9,-0.02,6.49,42.0,1482.41,1500.04
SEO YEJOO,1499.4861207462163,2,-0.26,4.05,45.0,1499.49,1502.61
Rauth Jana,1499.4780714475323,1,-0.52,,43.0,1499.48,1499.48
KOMPEIN Magdalena,1499.425830634208,3,-0.19,7.06,39.0,1499.43,1507.77
Gilemkhanova Dana,1499.3702274673144,6,-0.1,6.63,22.33,1499.37,1511.16
Apel Anna Maria,1499.227047458321,2,-0.39,10.17,31.0,1492.42,1499.23
WIENAND Roxana,1499.0142262308073,3,-0.33,6.32,23.0,1499.01,1506.61
Slamti Kenza,1498.981877293103,5,-0.2,5.28,38.4,1491.52,1501.42
PLASSOUX DJIGA INA,1498.8225900198263,5,-0.24,5.55,37.8,1493.82,1501.47
Brinkmann Joanne,1498.5877309696452,2,-0.71,7.55,35.5,1493.95,1498.59
Pichler Stefanie,1498.5140526388013,1,-1.49,,29.0,1498.51,1498.51
Ghaffari Sarina,1498.4465472923823,1,-1.55,,59.0,1498.45,1498.45
SA Sol,1498.3704752883198,7,-0.23,5.93,37.14,1498.37,1512.46
Chevrier Anne-Laure,1498.2408044422834,1,-1.76,,30.0,1498.24,1498.24
Kikuzawa Aya,1498.1141751202204,3,-0.63,2.96,22.67,1498.11,1501.98
ARC Nolwenn,1498.0869671664543,2,-0.96,3.12,34.0,1496.84,1498.09
KAZBEKOVA Ievgeniia,1497.9702989275713,1,-2.03,,16.0,1497.97,1497.97
Lukashyna Anastasiia,1497.9558447771394,1,-2.04,,45.0,1497.96,1497.96
Anda Villanueva Irati,1497.937530366397,40,-0.05,9.91,15.22,1487.62,1596.13
Novak Liza,1497.9178941855862,1,-2.08,,30.0,1497.92,1497.92
Lee Gahee,1497.9160385084654,1,-2.08,,47.0,1497.92,1497.92
