name,event,year,discipline,gender,round,rank,elo_before,elo_after,elo_change
Nonaka Miho,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2022,Boulder,Women,Final,3.0,1591.8907880957047,1593.348387842548,1.457599746843238
Grossman Natalia,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2022,Boulder,Women,Qualification,1.0,1669.171931664985,1677.811539954587,8.639608289601986
Nonaka Miho,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2022,Boulder,Women,Qualification,3.0,1593.348387842548,1603.663194016723,10.31480617417521
Grossman Natalia,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2022,Boulder,Women,Semi-final,3.0,1677.811539954587,1683.9472334761388,6.135693521551838
Nonaka Miho,"IFSC - Climbing World Cup (B,S) - Salt Lake City (USA) 2022",2022,Boulder,Women,Semi-final,6.0,1603.663194016723,1608.0052672542033,4.342073237480305
Grossman Natalia,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Final,1.0,1683.9472334761388,1694.6126611066059,10.665427630466995
Grossman Natalia,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Qualification,1.0,1694.6126611066059,1703.0322267563947,8.419565649788803
Nonaka Miho,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Qualification,6.0,1608.0052672542033,1616.9814483861187,8.976181131915475
Gibert Fanny,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Qualification,22.0,1561.0061048844523,1562.7029181718422,1.6968132873899524
Grossman Natalia,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Semi-final,1.0,1703.0322267563947,1712.4287853266433,9.396558570248498
Nonaka Miho,"IFSC - Climbing World Cup (B,S) - Seoul (KOR) 2022",2022,Boulder,Women,Semi-final,8.0,1616.9814483861187,1618.4992574231935,1.5178090370748896
Wurm Juliane,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Final,1.0,1500.0,1516.3446181050315,16.34461810503153
Puccio Alex,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Final,2.0,1500.0,1510.0950466462834,10.095046646283475
Noguchi Akiyo,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Final,3.0,1537.5620999785244,1539.2806128188267,1.7185128403022123
Coxsey Shauna,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Final,4.0,1500.0,1497.403635365591,-2.5963646344089124
Puccio Alex,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,1.0,1510.0950466462834,1525.617861580887,15.522814934603435
Noguchi Akiyo,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,2.0,1539.2806128188267,1552.660622148892,13.380009330065043
Wurm Juliane,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,2.0,1516.3446181050315,1530.7934696943344,14.44885158930279
Coxsey Shauna,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,3.0,1497.403635365591,1511.930931305573,14.527295939981906
Nonaka Miho,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,4.0,1618.4992574231935,1626.7827841445405,8.283526721347004
Abramchuk Yulia,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,6.0,1500.0,1512.0200446660776,12.020044666077542
Gibert Fanny,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Qualification,8.0,1562.7029181718422,1570.2385669308555,7.535648759013323
Wurm Juliane,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,1.0,1530.7934696943344,1546.5323409730033,15.738871278668913
Noguchi Akiyo,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,2.0,1552.660622148892,1565.703152084509,13.042529935617074
Coxsey Shauna,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,3.0,1511.930931305573,1525.2782924060741,13.347361100501182
Puccio Alex,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,5.0,1525.617861580887,1535.000326753987,9.38246517310022
Gibert Fanny,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,10.0,1570.2385669308555,1569.1387651340233,-1.0998017968323381
Abramchuk Yulia,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,12.0,1512.0200446660776,1510.3391790954067,-1.6808655706709015
Nonaka Miho,IFSC Climbing World Championship (B) - Munich (GER) 2014,2014,Boulder,Women,Semi-Final,15.0,1626.7827841445405,1613.7773144663267,-13.005469678213757
Stöhr Anna,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Final,1.0,1500.0,1516.6932355669717,16.69323556697161
Noguchi Akiyo,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Final,2.0,1565.703152084509,1572.5549671796437,6.851815095134794
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Final,4.0,1510.3391790954067,1507.51688883128,-2.8222902641265812
Noguchi Akiyo,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Qualification,4.0,1572.5549671796437,1582.6135247054228,10.058557525779149
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Qualification,4.0,1507.51688883128,1520.5700527793156,13.053163948035479
Stöhr Anna,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Qualification,5.0,1516.6932355669717,1528.2743365857154,11.581101018743817
Wurm Juliane,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Qualification,14.0,1546.5323409730033,1548.842930062912,2.3105890899087345
Noguchi Akiyo,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Semi-Final,1.0,1582.6135247054228,1595.4405343378419,12.827009632418955
Abramchuk Yulia,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Semi-Final,4.0,1520.5700527793156,1531.4054560356888,10.83540325637327
Stöhr Anna,IFSC Climbing World Championship (L + B + S) - Aviles (ESP) 2007,2007,Boulder,Women,Semi-Final,6.0,1528.2743365857154,1535.4178039788958,7.143467393180301
