name,event,year,date,discipline,gender,round,rank,elo_before,elo_after,elo_change,competed
PAN Yufei,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,6.0,1538.7645615616013,1547.966294713094,9.201733151492581,True
SCHALCK Mejdi,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,7.0,1615.6441964953344,1619.1978194439394,3.5536229486049966,True
AMAGASA Sohta,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,9.0,1602.6252614316552,1604.6943972345107,2.069135802855385,True
NARASAKI Tomoa,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,12.0,1567.9833983151166,1566.82216407863,-1.1612342364864796,True
PEHARC Anze,IFSC World Cup Bern 2025,2025,2025-06-13,Boulder,Men,Semi-final,15.0,1545.1816149166339,1540.9157676346222,-4.265847282011801,True
ANRAKU Sorato,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Final,2.0,1691.5815717165117,1698.261232369547,6.679660653035495,True
VAN DUYSEN Hannes,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Final,3.0,1573.1649033174024,1581.283191775234,8.118288457831525,True
LEE Dohyun,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Final,5.0,1629.6520784684944,1625.8227870394799,-3.8292914290146696,True
SCHALCK Mejdi,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Final,6.0,1644.4268937437546,1635.2506886801896,-9.176205063565051,True
AMAGASA Sohta,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Final,7.0,1621.0933600933622,1608.4730456521265,-12.620314441235672,True
ANRAKU Sorato,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,1.0,1672.8005369871328,1681.490528884162,8.689991897029234,True
LEE Dohyun,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,1.0,1606.8414710589057,1618.168178473268,11.326707414362371,True
NARASAKI Meichi,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,3.0,1558.9058667045908,1571.7548025771277,12.848935872536973,True
PAN Yufei,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,3.0,1565.6102608109697,1578.1632839061,12.553023095130426,True
AKHTAR Dayan,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,5.0,1542.0634311009187,1554.9533266079702,12.889895507051436,True
VAN DUYSEN Hannes,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,8.0,1555.098821925363,1566.8263599058212,11.727537980458333,True
SCHALCK Mejdi,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,15.0,1628.7048592585586,1635.074343595705,6.369484337146287,True
AMAGASA Sohta,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,15.0,1604.6943972345107,1612.0718150395985,7.377417805087896,True
PEHARC Anze,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Qualification,19.0,1540.9157676346222,1549.8160958697572,8.900328235135108,True
ANRAKU Sorato,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,1.0,1681.490528884162,1691.5815717165117,10.091042832349762,True
LEE Dohyun,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,2.0,1618.168178473268,1629.6520784684944,11.4838999952264,True
SCHALCK Mejdi,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,3.0,1635.074343595705,1644.4268937437546,9.352550148049575,True
AMAGASA Sohta,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,4.0,1612.0718150395985,1621.0933600933622,9.021545053763633,True
VAN DUYSEN Hannes,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,7.0,1566.8263599058212,1573.1649033174024,6.338543411581284,True
PEHARC Anze,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,9.0,1549.8160958697572,1554.882942057673,5.066846187915884,True
AKHTAR Dayan,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,13.0,1554.9533266079702,1554.243165682838,-0.7101609251322444,True
NARASAKI Meichi,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,14.0,1571.7548025771277,1568.8594156945956,-2.8953868825322546,True
PAN Yufei,IFSC World Cup Innsbruck 2025,2025,2025-06-25,Boulder,Men,Semi-final,17.0,1578.1632839061,1570.0660884198905,-8.097195486209541,True
