Unnamed: 0,event_name,event_id,year,location,discipline,gender,round,start_date,category_round_results,event_results
74,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Men,Final,2010-08-28,/api/v1/category_rounds/1433/results,/api/v1/events/619/result/1
75,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Qualification,2010-08-28,/api/v1/category_rounds/1426/results,/api/v1/events/619/result/5
76,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Semi-Final,2010-08-28,/api/v1/category_rounds/1427/results,/api/v1/events/619/result/5
77,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Lead,Women,Final,2010-08-28,/api/v1/category_rounds/1428/results,/api/v1/events/619/result/5
78,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Speed,Men,Qualification,2010-08-28,/api/v1/category_rounds/1434/results,/api/v1/events/619/result/2
79,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Speed,Men,Final,2010-08-28,/api/v1/category_rounds/1435/results,/api/v1/events/619/result/2
80,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Speed,Women,Qualification,2010-08-28,/api/v1/category_rounds/1429/results,/api/v1/events/619/result/6
81,"IFSC Climbing Worldcup (L,S) - Chuncheon (KOR) 2010",619,2010,Chuncheon,Speed,Women,Final,2010-08-28,/api/v1/category_rounds/1430/results,/api/v1/events/619/result/6
82,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Men,Qualification,2010-09-24,/api/v1/category_rounds/1439/results,/api/v1/events/620/result/1
83,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Men,Semi-Final,2010-09-24,/api/v1/category_rounds/1440/results,/api/v1/events/620/result/1
84,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Men,Final,2010-09-24,/api/v1/category_rounds/1441/results,/api/v1/events/620/result/1
85,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Women,Qualification,2010-09-24,/api/v1/category_rounds/1436/results,/api/v1/events/620/result/5
86,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Women,Semi-Final,2010-09-24,/api/v1/category_rounds/1437/results,/api/v1/events/620/result/5
87,IFSC Climbing Worldcup (L) - Puurs (BEL) 2010,620,2010,Puurs,Lead,Women,Final,2010-09-24,/api/v1/category_rounds/1438/results,/api/v1/events/620/result/5
88,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Lead,Men,Qualification,2010-10-29,/api/v1/category_rounds/1446/results,/api/v1/events/621/result/1
89,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Lead,Men,Final,2010-10-29,/api/v1/category_rounds/1448/results,/api/v1/events/621/result/1
90,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Lead,Men,Semi-Final,2010-10-29,/api/v1/category_rounds/1447/results,/api/v1/events/621/result/1
91,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Lead,Women,Qualification,2010-10-29,/api/v1/category_rounds/1442/results,/api/v1/events/621/result/5
92,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Lead,Women,Final,2010-10-29,/api/v1/category_rounds/1443/results,/api/v1/events/621/result/5
93,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Speed,Men,Qualification,2010-10-29,/api/v1/category_rounds/1449/results,/api/v1/events/621/result/2
94,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Speed,Men,Final,2010-10-29,/api/v1/category_rounds/1450/results,/api/v1/events/621/result/2
95,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Speed,Women,Qualification,2010-10-29,/api/v1/category_rounds/1444/results,/api/v1/events/621/result/6
96,"IFSC Climbing Worldcup (L, S) - Huaiji (CHN) 2010",621,2010,Huaiji,Speed,Women,Final,2010-10-29,/api/v1/category_rounds/1445/results,/api/v1/events/621/result/6
97,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Qualification,2010-11-13,/api/v1/category_rounds/1454/results,/api/v1/events/622/result/1
98,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Semi-Final,2010-11-13,/api/v1/category_rounds/1455/results,/api/v1/events/622/result/1
99,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Men,Final,2010-11-13,/api/v1/category_rounds/1456/results,/api/v1/events/622/result/1
100,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Women,Qualification,2010-11-13,/api/v1/category_rounds/1451/results,/api/v1/events/622/result/5
101,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Women,Semi-Final,2010-11-13,/api/v1/category_rounds/1452/results,/api/v1/events/622/result/5
102,IFSC Climbing Worldcup (L) - Kranj (SLO) 2010,622,2010,Kranj,Lead,Women,Final,2010-11-13,/api/v1/category_rounds/1453/results,/api/v1/events/622/result/5
0,UIAA Worldcup (B) - Birmingham (GBR) 2005,388,2005,Birmingham,Boulder,Men,,2005-03-18,,/api/v1/events/388/result/3
1,UIAA Worldcup (B) - Birmingham (GBR) 2005,388,2005,Birmingham,Boulder,Women,,2005-03-18,,/api/v1/events/388/result/7
2,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Men,,2005-04-08,,/api/v1/events/389/result/3
3,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Boulder,Women,,2005-04-08,,/api/v1/events/389/result/7
4,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Men,,2005-04-08,,/api/v1/events/389/result/2
5,UIAA Worldcup (B+S) - Moscow (RUS) 2005,389,2005,Moscow,Speed,Women,,2005-04-08,,/api/v1/events/389/result/6
6,UIAA Worldcup (S) - Moscow (RUS) 2005,390,2005,Moscow,Speed,Men,,2005-04-10,,/api/v1/events/390/result/2
7,UIAA Worldcup (S) - Moscow (RUS) 2005,390,2005,Moscow,Speed,Women,,2005-04-10,,/api/v1/events/390/result/6
8,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Lead,Men,,2005-04-23,,/api/v1/events/391/result/1
9,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Lead,Women,,2005-04-23,,/api/v1/events/391/result/5
10,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Speed,Men,,2005-04-23,,/api/v1/events/391/result/2
11,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,391,2005,Veliko Tarnovo,Speed,Women,,2005-04-23,,/api/v1/events/391/result/6
12,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Men,,2005-04-28,,/api/v1/events/392/result/1
13,UIAA Worldcup (L) - Puurs (BEL) 2005,392,2005,Puurs,Lead,Women,,2005-04-28,,/api/v1/events/392/result/5
14,UIAA Worldcup (L) - Imst (AUT) 2005,393,2005,Imst,Lead,Men,,2005-05-26,,/api/v1/events/393/result/1
15,UIAA Worldcup (L) - Imst (AUT) 2005,393,2005,Imst,Lead,Women,,2005-05-26,,/api/v1/events/393/result/5
